cartodb_id,the_geom,address,level,low_income,asian,white,hispanic,black,name
7,0101000020E6100000F452B131AFC651C083A3E4D539224540,"154 Ruskindale RoadMattapan, MA 02126",3,82.7,1.3,1.6,22.5,70.6,Chittick
27,0101000020E610000020D26F5F07C951C02AC76471FF234540,"236 Beech StRoslindale, MA 2131",3,61.3,3.5,30.6,28.9,30.6,Mozart
61,0101000020E61000009EB29AAE27C351C0DD5ED218AD254540,"1 Worrell St.South Boston, MA 02122",2,66.2,34.5,26.4,16.1,20.4,Murphy
11,0101000020E61000007FBE2D58AAC451C0EEB3CA4C69294540,"6 Shirley St., RoxburyBoston, MA 02119",0,80.9,0,1.1,33.1,63.5,Dudley St. Neighborhood Charter (K1-4) 2
25,0101000020E6100000AB7823F3C8C651C071DB08D517234540,"100 Hebron St.Mattapan, MA 02126",4,81.2,0.2,1.9,23.7,71.4,Mattahunt
35,0101000020E610000041B566D0F5C451C0B0E8D66B7A234540,"1060 Morton St.Mattapan, MA 02126",2,88,2.1,0.8,16.8,77.7,Taylor
5,0101000020E610000071A94A5B5CC051C06BF0BE2A17324540,"110 Beachview RoadEast Boston, MA 02128",2,75.2,5.4,30.5,55,4.7,Bradley
58,0101000020E61000009386BFCB31C251C0DE98F969372F4540,"122 Cottage St.East Boston, MA 02128",3,88.1,0.1,6,90.2,2.8,McKay
22,0101000020E6100000B858518369C851C0A65E5C4F19274540,"130 Louders LaneJamaica Plain, MA 02130",1,43.4,3.8,44.7,22.6,19.5,Manning
50,0101000020E6100000643BDF4F8DC551C0F775E09C11294540,"131 Walnut Ave.Roxbury, MA 02119",3,90.3,1.3,2.6,33.2,58.2,Higginson/Lewis
67,0101000020E61000004FBB4ED99FC551C04CC7F7205F284540,"135 Humboldt Ave.Dorchester, MA 02121",3,84.4,0,5.6,29.9,60.3,Trotter (K-7) 3
23,0101000020E6100000A8E0F08288C451C0F3583332C8294540,"150 Norfolk AvenueRoxbury, MA 02119",3,76.5,1.2,4.1,31.7,55.6,Mason 1
55,0101000020E6100000B43E40521FC551C0985B10806E254540,"155 Talbot Ave.Dorchester, MA 02124",2,88.3,7.3,3,29.4,55.6,Lee 
34,0101000020E61000000EA14ACD1EC851C015E06014A9244540,"15 Basile St.Roslindale, MA 02131",2,84.6,2.4,7.7,66.4,21.7,Sumner
26,0101000020E6100000EDD3F19881C651C0CD1E680586284540,"164 School St.Roxbury, MA 02119",3,63.7,0,24.8,43.4,23.5,Mendell
1,0101000020E61000006AE514D33BC251C008B76BF8CC2E4540,"165 Webster StreetEast Boston, MA 02128",3,82.9,0.7,19.9,71.9,5.1,Adams
72,0101000020E61000007FEBD4A6FBC351C0F825D1819B254540,"1669 Dorchester Ave.Dorchester, MA 02122",1,53.3,9.1,43.6,18.9,25.9,Henderson
44,0101000020E6100000935FF5366CC351C017B7D100DE2E4540,"16 Charter StreetBoston, MA 02113",1,47.9,2.3,49,29.6,15.7,Eliot 3
62,0101000020E6100000146E43D664C951C0202345099F214540,"175 West Boundary Rd.West Roxbury, MA 02132",2,74,4.8,21.6,44.6,26,Ohrenberger (3-8)
